Command: /home/users5/ec385912/ECE527LSP22/ece527l-lab10/fifo/sim/netlist_sim/./simv -l sim_netlist.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May  7 21:28 2022
Doing SDF annotation ...... Done
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 60, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 61, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 63, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 62, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 63, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 67, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 64, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 65, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 67, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 66, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 67, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 68, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 69, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 6f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 70, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 71, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 73, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 72, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 73, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 77, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 74, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 75, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 77, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 76, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 77, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 78, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 79, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 7f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: ff, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 80, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 81, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 83, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 82, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 83, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 87, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 84, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 85, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 87, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 86, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 87, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 88, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 89, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 8f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 90, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 91, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 93, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 92, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 93, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 97, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 94, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 95, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 97, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 96, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 97, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 98, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 99, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9a, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9b, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9c, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9d, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9e, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: 9f, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: bf, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a0, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a1, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a2, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a3, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a4, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a5, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a7, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a6, EMPTY: 0, FULL: 0
WR: 1, OE: 0 | DOUT: a7, EMPTY: 0, FULL: 0
